"seqnames","start","end","width","strand","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation","Conc","Conc_WT","Conc_KO"
"chr7",115692285,115692685,401,"*","1110004F10Rik",0.226170816909018,0.861209544015701,0.331658696599875,"Gain",0,"Promoter (<=1kb)",8.26829738309037,8.12383221282724,8.39960408547838
"chr5",115769768,115770168,401,"*","1110006O24Rik",0.353555541433571,0.72909526495307,0.12199652481081,"Gain",0,"Promoter (<=1kb)",7.35524855274634,7.1395301148557,7.54286780348084
"chr6",13872165,13872565,401,"*","1110019D14Rik",-0.0636429081134197,0.974381091008838,0.842187001544242,"Loss",597,"Promoter (<=1kb)",5.51557741452997,5.52271472839105,5.50840461525919
"chr11",87581008,87581408,401,"*","1110028F11Rik",0.128679134782843,0.955746313336276,0.701585411051063,"Gain",-8942,"Intron (NM_172448/207742, intron 2 of 9)",5.34021157114025,5.24815723554279,5.42674282813747
"chr8",107312241,107312641,401,"*","1110028F18Rik",-0.823773661776721,0.588780708700312,0.0437342934654171,"Loss",-1134,"Promoter (1-2kb)",4.57058461853746,4.90806404305939,4.12924981605414
"chr3",68776909,68777309,401,"*","1110032F04Rik",0.0823356461090736,0.970087513678161,0.791764873561276,"Gain",0,"Promoter (<=1kb)",5.60791851376944,5.54037923654312,5.67243685960556
"chr9",63957260,63957660,401,"*","1110036E04Rik",0.163411918815327,0.941557085774259,0.626634174641101,"Gain",149,"Promoter (<=1kb)",5.34015405977732,5.22949687636009,5.44292494987661
"chr17",35171544,35171944,401,"*","1110038B12Rik",0.197318542590814,0.912430213184018,0.499036514365283,"Gain",-97,"Promoter (<=1kb)",5.87053299795112,5.74161726373072,5.98886813119454
"chr15",76832522,76832922,401,"*","1110038F14Rik",0.190187754246584,0.903503350455656,0.457289249410847,"Gain",61,"Promoter (<=1kb)",6.39316174625242,6.26818687566141,6.50816832498027
"chr17",64362700,64363100,401,"*","1110058D11Rik",0.0755471229462489,0.981989676551951,0.868703330664269,"Gain",-5033,"Intron (NM_001037997/14158, intron 15 of 18)",4.10888166093209,4.04471338385229,4.17031698274152
"chr19",21624603,21625003,401,"*","1110059E24Rik",-0.0464548424359741,0.987482452231567,0.890929644577144,"Loss",5152,"Intron (NM_025423/66206, intron 1 of 3)",5.30267348084433,5.30122199038938,5.30412351242744
"chr9",122779906,122780306,401,"*","1110059G10Rik",0.315021398654758,0.794443673653668,0.207966665113855,"Gain",0,"Promoter (<=1kb)",6.50857775371576,6.31458325516541,6.67955143259856
"chr4",124744306,124744706,401,"*","1110065P20Rik",0.237616485376703,0.847730027946304,0.302468256123651,"Gain",0,"Promoter (<=1kb)",7.98242349562297,7.83166452175817,8.11890830474018
"chr8",121361008,121361408,401,"*","1190005I06Rik",0.66500423773663,0.438723128880447,0.0147091767900679,"Gain",0,"Promoter (<=1kb)",6.17013022943733,5.7683384601643,6.48405211663119
"chr16",21612912,21613312,401,"*","1300002E11Rik",0.17108141867249,0.902324544485448,0.453264387053669,"Gain",0,"Promoter (<=1kb)",7.5089905281427,7.39441979902195,7.61512828849651
"chr10",83565363,83565763,401,"*","1500009L16Rik",0.0818753683540815,0.97864097336626,0.859706497460199,"Gain",6634,"Intron (NM_001145198/69784, intron 1 of 5)",4.06531260255971,3.99781382404715,4.12979399115137
"chr5",114951835,114952235,401,"*","1500011B03Rik",0.374379813626867,0.734357686016486,0.127464468210753,"Gain",0,"Promoter (<=1kb)",6.61066240442986,6.38292765307031,6.80730128738384
"chr18",61879833,61880233,401,"*","1500015A07Rik",1.16626196620897,0.37470405463585,0.00890865790252606,"Gain",20372,"Exon (NM_178928/106877, exon 9 of 19)",4.32188492320558,3.58384125049246,4.8077735375367
"chr19",20387091,20387491,401,"*","1500015L24Rik",-0.200981977606377,0.940169945578805,0.617601142559302,"Loss",4439,"Intron (NR_045817/68994, intron 1 of 2)",4.57046885822771,4.64471945791658,4.49218849735005
"chr10",89544550,89544950,401,"*","1500026H17Rik",1.26261037680691,0.365325267488843,0.00791863791488143,"Gain",22325,"Distal Intergenic",4.12971743238065,3.32201279296973,4.64443046841862
"chr5",25188048,25188448,401,"*","1500035N22Rik",-0.189103146902322,0.941936518661109,0.62998384940619,"Loss",-2392,"Promoter (2-3kb)",4.68686162026638,4.75540793821175,4.61489531436011
"chr16",95730781,95731181,401,"*","1600002D24Rik",-0.184107467528989,0.939646065780053,0.61516481367841,"Loss",-504,"Promoter (<=1kb)",4.99975836021191,5.06583188663413,4.93051290233918
"chr7",109605670,109606070,401,"*","1600010M07Rik",0.146371465411004,0.939646065780053,0.615837259606811,"Gain",0,"Promoter (<=1kb)",5.87130211646038,5.76987181351628,5.96606728297624
"chr1",158862991,158863391,401,"*","1600012P17Rik",-0.0209069138109,0.995109938475201,0.957500783211946,"Loss",-54959,"Distal Intergenic",4.68640828874818,4.6720884727927,4.70058736572723
"chr7",37882048,37882448,401,"*","1600014C10Rik",0.294741759905997,0.834237464101612,0.272313167319023,"Gain",-194,"Promoter (<=1kb)",6.19571502302122,6.01306147800481,6.35782070799059
"chr11",109222148,109222548,401,"*","1600015H23Rik",0.100909337062776,0.946747646155162,0.663082857213389,"Gain",-12203,"Distal Intergenic",7.03054289107572,6.95332368346559,7.10383813475898
"chr16",35333505,35333905,401,"*","1600019K03Rik",0.427437972486176,0.715983460162383,0.109679897651827,"Gain",-3716,"Distal Intergenic",6.22400611194976,5.96548933819583,6.44316297012862
"chr6",86516313,86516713,401,"*","1600020E01Rik",0.46752900971638,0.810996738393947,0.231485706891577,"Gain",11930,"Intron (NR_037960/72012, intron 3 of 4)",4.74138782107805,4.45851956453179,4.97778217322649
"chr5",45826971,45827371,401,"*","1600023N17Rik",0.315622197047716,0.778363952499267,0.180374859474484,"Gain",0,"Promoter (<=1kb)",8.47698613233485,8.28283697830449,8.64807988759949
"chr9",99352609,99353009,401,"*","1600029I14Rik",0.867900881781866,0.416158051998889,0.0125540005805698,"Gain",135,"Promoter (<=1kb)",5.28508438317565,4.75271652663957,5.67308761749175
"chr8",61739844,61740244,401,"*","1700001D01Rik",0.0322598122042098,0.989908844769785,0.927474250540495,"Gain",1662,"Promoter (1-2kb)",5.12982352565825,5.08829999249474,5.17018529174805
"chr14",66542870,66543270,401,"*","1700001G11Rik",-0.170423986575653,0.930953270046206,0.569421875659667,"Loss",-8292,"Intron (NM_029979/66854, intron 3 of 5)",5.76221787438098,5.82159642086973,5.70029012587973
"chr1",33720582,33720982,401,"*","1700001G17Rik",0.359950385667198,0.931770093607156,0.577430244739804,"Gain",11677,"Distal Intergenic",3.12935712478297,2.90717348563757,3.32184559625157
"chr5",146138039,146138439,401,"*","1700001J03Rik",-0.135670876851897,0.966968968604985,0.770894963630941,"Loss",-15925,"Distal Intergenic",4.04465628957125,4.08759370768432,4.000401667385
"chr11",114059028,114059428,401,"*","1700001J04Rik",0.109053009957897,0.95809369482409,0.723636302094651,"Gain",18147,"Distal Intergenic",5.65022121797084,5.5686201860591,5.72745281084426
"chr12",110648968,110649719,752,"*","1700001K19Rik",0.150942496844803,0.9349776920022,0.592614121120697,"Gain",0,"Promoter (<=1kb)",6.0017919384605,5.89792833473729,6.09867766056957
"chr19",53247550,53247950,401,"*","1700001K23Rik",-0.368628627596941,0.812743150475422,0.235384402321164,"Loss",-3914,"Distal Intergenic",5.6279254061459,5.77909866183314,5.4590370311163
"chr15",83251382,83251782,401,"*","1700001L05Rik",0.319839937597248,0.769105040545497,0.16703258989818,"Gain",0,"Promoter (<=1kb)",7.06623105387624,6.86959938744687,7.23924913705924
"chr2",30691540,30691940,401,"*","1700001O22Rik",0.0226618852705017,0.995109938475201,0.957430420864789,"Gain",0,"Promoter (<=1kb)",4.35684973262266,4.32024670174926,4.39254702972152
"chr11",98248973,98249373,401,"*","1700003D09Rik",0.0732203161530946,0.964585186087272,0.754095141508518,"Gain",0,"Promoter (<=1kb)",6.93429049539615,6.87158193828511,6.99438650940935
"chr2",154381654,154382054,401,"*","1700003F12Rik",0.644996403069897,0.735810055059281,0.129970285791032,"Gain",-8770,"Distal Intergenic",4.39355463777595,4.00243790295038,4.70093755125452
"chr7",115665863,115666263,401,"*","1700003G18Rik",0.090692774739663,0.974381091008838,0.829298300591166,"Gain",26121,"Distal Intergenic",4.39086308002983,4.31878388243912,4.45951180530275
"chr3",124357783,124358183,401,"*","1700003H04Rik",-0.283631539371829,0.907953066196211,0.477036547292193,"Loss",16557,"Distal Intergenic",4.61426981264858,4.7272559336475,4.49167741875672
"chr1",56022432,56022832,401,"*","1700003I22Rik",0.155859633848003,0.95207051734154,0.684151798403187,"Gain",-35305,"Distal Intergenic",4.80800967447894,4.70129981365576,4.90736736037109
"chr16",12584688,12585088,401,"*","1700003L19Rik",-0.487214878934975,0.846080803228656,0.297887225363082,"Loss",-44166,"Distal Intergenic",4.04490516615427,4.24881150959835,3.80735966903756
"chr4",129853985,129854385,401,"*","1700003M07Rik",0.444650108522917,0.846080803228656,0.297940744562371,"Gain",0,"Promoter (<=1kb)",4.35772622424174,4.08797405941692,4.58489796540667
"chr13",118675291,118675691,401,"*","1700003P14Rik",0.0637171069460337,0.979291300789793,0.861511273737192,"Gain",-17013,"Distal Intergenic",5.01063985031513,4.95278998255533,5.06625918055272
"chr3",124219990,124220390,401,"*","1700006A11Rik",1.16824943405624,0.30237615226755,0.00450945384089995,"Gain",-302,"Promoter (<=1kb)",4.64335735809478,3.90505749375581,5.12935563780197
"chr14",119955792,119956192,401,"*","1700006F04Rik",0.4528440028716,0.789651423882955,0.198486609898888,"Gain",-30447,"Intron (NM_015820/50787, intron 1 of 1)",5.17900032557988,4.90513690075377,5.40907829538247
"chr13",107813250,107813650,401,"*","1700006H21Rik",0.717880874550668,0.67559492827227,0.0822498926494538,"Gain",-10282,"Distal Intergenic",4.52315131610948,4.08645298776333,4.85792150261456
"chr3",58030109,58030509,401,"*","1700007F19Rik",0.178119943669327,0.939897087907513,0.616636904213907,"Gain",40719,"Distal Intergenic",5.11917104234478,5.00052429168883,5.22879745779713
"chr11",59630828,59631228,401,"*","1700007J10Rik",0.276150869801458,0.914839963962594,0.505016404597685,"Gain",0,"Promoter (<=1kb)",4.46045813446083,4.28757417300012,4.61482403412851
"chr16",33201028,33201428,401,"*","1700007L15Rik",0.3675253313111,0.716709320738573,0.110225010085329,"Gain",0,"Promoter (<=1kb)",7.16822902852191,6.94450985788835,7.36186836834533
"chr17",49478557,49478957,401,"*","1700008K24Rik",0.149886237844426,0.957375927892283,0.717034279029215,"Gain",-57996,"Distal Intergenic",4.45820165796641,4.35461267983477,4.55484838621506
"chr7",44023525,44023925,401,"*","1700008O03Rik",0.160944637379566,0.909980428807077,0.488074536968776,"Gain",529,"Promoter (<=1kb)",7.01227898372376,6.90313383433063,7.11374449254367
"chr3",6181015,6181415,401,"*","1700008P02Rik",0.311217767936671,0.915947277178367,0.511538468396693,"Gain",504088,"Distal Intergenic",3.99966266361837,3.80667564978897,4.16985355917669
"chr6",81893828,81894228,401,"*","1700009C05Rik",0.636784271514153,0.728018352813165,0.119446384087589,"Gain",-6047,"Distal Intergenic",4.55467456473744,4.16893571193476,4.8587335484922
"chr10",77728330,77728730,401,"*","1700009J07Rik",0.339350203779598,0.78257599176576,0.190073383977953,"Gain",-524,"Promoter (<=1kb)",6.3506881575231,6.14289729930238,6.53228425521822
"chr4",39473299,39473699,401,"*","1700009N14Rik",0.081648849563627,0.979553235302255,0.861868928680429,"Gain",23006,"Distal Intergenic",4.02346636112562,3.95606416786441,4.0878596024952
"chr17",9206945,9207345,401,"*","1700010I14Rik",0.58548552446061,0.636010747086141,0.0635042125103552,"Gain",0,"Promoter (<=1kb)",5.59976411434061,5.24666406334137,5.88321182247493
"chr13",35363904,35364304,401,"*","1700011B04Rik",0.533622304289678,0.763911224998188,0.163493088463734,"Gain",-1302,"Promoter (1-2kb)",4.84563043622831,4.52337343262491,5.10888407288834
"chr8",79978161,79978561,401,"*","1700011L22Rik",0.173899924228419,0.952952786410602,0.688637632789506,"Gain",-2949,"Promoter (2-3kb)",4.28405668430719,4.16743501589639,4.39195212415001
"chr6",32005171,32005571,401,"*","1700012A03Rik",-0.138988280543983,0.932981811738669,0.583520293261585,"Loss",-21652,"Distal Intergenic",6.42919393470639,6.47333838097224,6.38365597865603
"chr6",30459891,30460291,401,"*","1700012C14Rik",0.56669449049356,0.659577132955583,0.0746497045372738,"Gain",-693,"Promoter (<=1kb)",5.56967786975307,5.22799592969769,5.84573282371639
"chr10",127503499,127503899,401,"*","1700012D01Rik",0.0494901425603484,0.974381091008838,0.828120410632795,"Gain",507,"Promoter (<=1kb)",7.42713464281261,7.37676732913129,7.47580269265092
"chr3",153003426,153003826,401,"*","1700012D16Rik",0.0430440815728576,0.987482452231567,0.899155020797089,"Gain",460,"Promoter (<=1kb)",5.29434987071934,5.24726129079071,5.33994996672631
"chr15",67157546,67157946,401,"*","1700012I11Rik",0.0943778189259417,0.974381091008838,0.825824578196902,"Gain",58928,"Intron (NR_045140/69334, intron 5 of 8)",4.3221163509537,4.24807006453071,4.39254702972152
"chr6",7737866,7738266,401,"*","1700012J15Rik",0.123121252240321,0.970087513678161,0.791718173740808,"Gain",-28083,"Distal Intergenic",4.04507172766541,3.95567602452168,4.12924981605414
"chr6",124335895,124336295,401,"*","1700013D24Rik",-0.297940491050104,0.814776654877186,0.238234443828753,"Loss",-1892,"Promoter (1-2kb)",6.45190299300675,6.57097316050773,6.32211432856552
"chrX",52754717,52755117,401,"*","1700013H16Rik",0.493379213138204,0.716516417530093,0.109966340278563,"Gain",4681,"Intron (NM_001200013/75514, intron 1 of 8)",5.67298995729647,5.3754258210221,5.91955009382761
"chr5",112301624,112302024,401,"*","1700016B01Rik",0.184382381363398,0.928249667219459,0.553963305277355,"Gain",-2069,"Promoter (2-3kb)",5.6157162212417,5.49377942297114,5.72814528173511
"chr13",5905590,5905990,401,"*","1700016G22Rik",-0.359787464658495,0.831580030937296,0.267696828367096,"Loss",2101,"Promoter (2-3kb)",5.46797359910128,5.61524459359508,5.30394197744624
"chr5",103803137,103803537,401,"*","1700016H13Rik",0.373096982799004,0.800813624138503,0.218024952321649,"Gain",53,"Promoter (<=1kb)",5.73458673649917,5.50735664400226,5.93084945193665
"chr1",80429593,80429993,401,"*","1700016L21Rik",0.700868535079973,0.614439418597183,0.0531279590548185,"Gain",5944,"Intron (NR_040460/72208, intron 2 of 2)",5.09856998850349,4.67345826741253,5.42650902168376
"chr9",57169443,57169843,401,"*","1700017B05Rik",0.250386831836331,0.838196949402855,0.279674122253553,"Gain",39,"Promoter (<=1kb)",7.04674845991113,6.88889046267,7.18902474880283
"chr2",168822749,168823149,401,"*","1700017J07Rik",-0.0983308443494701,0.960712829751946,0.739863521085475,"Loss",2560,"Promoter (2-3kb)",5.80636397965713,5.83067776519449,5.78163339881816
"chr5",77616276,77616676,401,"*","1700017L05Rik",0.460342389647379,0.758703792365266,0.153449534924675,"Gain",2941,"Promoter (2-3kb)",5.50908965172583,5.23099818051191,5.74214171296445
"chr10",100465564,100465964,401,"*","1700017N19Rik",0.471382903743416,0.838196949402855,0.280190178617954,"Gain",37316,"Distal Intergenic",4.28538504919026,3.99973948274993,4.5237140474509
"chr8",122109464,122109864,401,"*","1700018B08Rik",1.16422780541401,0.37470405463585,0.00901944358148663,"Gain",158829,"Distal Intergenic",4.32208539272713,3.58546814675076,4.80736290206391
"chr13",35393547,35393947,401,"*","1700019C18Rik",-0.156817687261995,0.94069451853088,0.622295445160567,"Loss",2084,"Promoter (2-3kb)",5.53127971789658,5.58414195180561,5.47640662868267
"chr1",53002312,53002712,401,"*","1700019D03Rik",-0.339609043527855,0.903835098130155,0.458124597771763,"Loss",0,"Promoter (<=1kb)",4.10769942798741,4.24658776619965,3.95400197637851
"chr2",45582900,45583300,401,"*","1700019E08Rik",-0.108139922859335,0.949879203477281,0.676202660287557,"Loss",-3317,"Distal Intergenic",6.33397120019502,6.3630721380406,6.30427115508746
"chr5",73950000,73950400,401,"*","1700019F05Rik",-0.728705259132307,0.744603795417376,0.138694233430849,"Loss",-119832,"Distal Intergenic",3.9066171155016,4.20903354922807,3.52352385536876
"chr6",6005645,6006045,401,"*","1700019G24Rik",0.807081578591152,0.608882712916423,0.0508523058390515,"Gain",-28252,"Intron (NM_001191023/13426, intron 13 of 15)",4.54016655344018,4.04624522204632,4.90743427951538
"chr9",13999145,13999545,401,"*","1700019J19Rik",-0.219535056356135,0.925137392215583,0.542350977160625,"Loss",-1828,"Promoter (1-2kb)",5.06507739447768,5.14797543565205,4.97712402965683
"chr12",95907193,95907593,401,"*","1700019M22Rik",0.27977136238435,0.905363581028106,0.462417303503672,"Gain",106403,"Distal Intergenic",4.84472689236626,4.67003476203419,5.00053237977061
"chr1",138839910,138840310,401,"*","1700019P21Rik",0.0245754633612207,0.994994524895699,0.954770013366217,"Gain",-35222,"Distal Intergenic",4.28566796977373,4.24807006453071,4.32231087588797
"chr10",110730133,110730533,401,"*","1700020G17Rik",0.0393752970330432,0.987574022864533,0.91484139339498,"Gain",1835,"Promoter (1-2kb)",4.97889796690061,4.93368740728789,5.02273468131281
"chr7",29964480,29964880,401,"*","1700020L13Rik",0.648138371318158,0.633558994898042,0.0626729487155892,"Gain",-14639,"Exon (NM_146186/233064, exon 9 of 33)",5.24782637490226,4.85587215280329,5.5557251166978
"chr11",83331099,83331499,401,"*","1700020L24Rik",0.334961527311222,0.749670807525519,0.1446964478169,"Gain",2579,"Promoter (2-3kb)",7.20914604457144,7.00397851989989,7.38873613191276
"chr9",120744115,120744515,401,"*","1700020M21Rik",-0.119748301482839,0.953945663367982,0.692294658117625,"Loss",0,"Promoter (<=1kb)",5.72239214468821,5.75722154115078,5.68670105468682
"chr10",21480870,21481270,401,"*","1700020N01Rik",0.600482630573583,0.68810706949725,0.0903581102767678,"Gain",11826,"Intron (NR_027968/67692, intron 2 of 2)",5.17048794873443,4.8078761643753,5.46002110483091
"chr1",91333254,91333654,401,"*","1700020N18Rik",0.587744575923456,0.711065913584468,0.107272515551285,"Gain",97,"Promoter (<=1kb)",5.05485531378862,4.69993806538138,5.33947072623478
"chr4",134182586,134182986,401,"*","1700021N21Rik",0.520911851075189,0.778363952499267,0.183231786746754,"Gain",-5104,"Distal Intergenic",4.74239290300869,4.42767883183133,5.00059784096133
"chr5",24857080,24857480,401,"*","1700022A21Rik",0.690912640070646,0.710485094231316,0.107010414353301,"Gain",6629,"Distal Intergenic",4.37559702206461,3.95567602452168,4.70044730088748
"chr16",59280972,59281372,401,"*","1700022E09Rik",0.544625030596986,0.763615933005258,0.163104598142555,"Gain",8229,"Intron (NM_001081190/328699, intron 8 of 8)",4.754877670213,4.42588223480949,5.02260447558475
"chr12",9619925,9620325,401,"*","1700022H16Rik",0.709993773834799,0.769697707746231,0.172075099667662,"Gain",260,"Promoter (<=1kb)",3.75466177740199,3.32117606176437,4.08754661997685
"chr9",31297246,31297646,401,"*","1700023A20Rik",0.03713841755193,0.98310088629543,0.871926433704668,"Gain",0,"Promoter (<=1kb)",8.00217771865434,7.95819428223331,8.04485980860593
"chr11",109751040,109751440,401,"*","1700023C21Rik",-0.0812270222136063,0.966821924719921,0.76454714672735,"Loss",14336,"Distal Intergenic",6.14512957634988,6.16097190506713,6.12911134863803
"chr19",8734207,8734607,401,"*","1700023D09Rik",0.364373785898493,0.718117557044298,0.111787857805755,"Gain",0,"Promoter (<=1kb)",7.71166734902316,7.48980878374229,7.90391190524267
"chr14",124226707,124227107,401,"*","1700024B18Rik",1.32860664009985,0.393574995351818,0.0106636013962769,"Gain",1660,"Promoter (1-2kb)",3.85824273887951,3.00093153451559,4.39232392632791
"chr13",63869183,63869583,401,"*","1700024I08Rik",-0.366856063481618,0.777964262078427,0.179610830678549,"Loss",12529,"Intron (NR_126476/75522, intron 4 of 4)",6.12289805345881,6.27316016279391,5.9551463318505
"chr2",164916813,164917213,401,"*","1700025C18Rik",-0.375917284403877,0.85712830256559,0.323166821925791,"Loss",15457,"Distal Intergenic",4.84580078769144,5.00052429168883,4.67246804347048
"chr11",113984007,113984407,401,"*","1700025D23Rik",0.961668874969547,0.307778039324069,0.0047848285670074,"Gain",1772,"Promoter (1-2kb)",5.37455827947446,4.780040595336,5.79434974274993
"chr1",151965906,151966306,401,"*","1700025G04Rik",0.104234400986067,0.944427837447712,0.647944940458645,"Gain",0,"Promoter (<=1kb)",7.32235213458052,7.24339054619453,7.39721533998121
"chr7",121240425,121240825,401,"*","1700025J12Rik",0.488273268680055,0.73849324238423,0.132879837873541,"Gain",51299,"Distal Intergenic",5.48392043485756,5.18929039557127,5.7284648904291
"chr10",126227718,126228118,401,"*","1700025K04Rik",-0.138095436853245,0.956313860689498,0.707666872575765,"Loss",19874,"Distal Intergenic",4.97663706378435,5.02051940308347,4.93137797287736
"chr5",73442918,73443318,401,"*","1700025M24Rik",-0.0501722789724997,0.987482452231567,0.900435359867751,"Loss",-1391,"Promoter (1-2kb)",4.58571715243625,4.58617766801266,4.58525648981399
"chr6",39044147,39044547,401,"*","1700025N23Rik",0.26843097338086,0.9077388747435,0.475941391052564,"Gain",0,"Promoter (<=1kb)",4.89457803720481,4.72624090678511,5.04530957431808
"chr2",132327338,132327738,401,"*","1700026D11Rik",-0.0496466139096087,0.987574022864533,0.915126329747604,"Loss",-4910,"Distal Intergenic",4.04445804457874,4.04471338385229,4.04420266010527
"chr16",49056336,49056736,401,"*","1700026J12Rik",-0.832850938951265,0.689738427841544,0.0919236757211554,"Loss",19399,"Exon (NR_166907/73255, exon 3 of 10)",3.90773526737721,4.24955315188291,3.45892635142466
"chr6",124350539,124350939,401,"*","1700027F06Rik",-0.208428711581942,0.909540585796461,0.485947401677153,"Loss",-9094,"Distal Intergenic",5.76865452360964,5.84615340159779,5.68675504051174
"chr5",64620930,64621330,401,"*","1700027F09Rik",0.195500164502813,0.923367358800202,0.53705100619753,"Gain",3955,"Intron (NR_040681/69999, intron 1 of 2)",5.55477940240041,5.42679620824836,5.67232840221913
"chr10",43626917,43627317,401,"*","1700027J07Rik",-0.346155447792492,0.886582377958437,0.405013560811883,"Loss",4763,"Intron (NR_040581/69443, intron 1 of 3)",4.44317016877334,4.58478328080491,4.28612829549209
"chr7",28189891,28190291,401,"*","1700028B04Rik",0.324976507692603,0.907953066196211,0.478597806576715,"Gain",-6075,"Distal Intergenic",4.10928045671135,3.90857161927472,4.28544625826682
"chr5",112358004,112358404,401,"*","1700028D13Rik",0.617615208902333,0.777130207614352,0.179037247471244,"Gain",3375,"Downstream (<=300bp)",4.12898507237208,3.75439874690993,4.42608660859002
"chr5",151291964,151292364,401,"*","1700028E10Rik",0.000110201910160327,0.999913001196181,0.999643654096386,"Gain",0,"Promoter (<=1kb)",9.13203841114324,9.10701551425452,9.15663468618646
"chr10",82647639,82648039,401,"*","1700028I16Rik",0.80368252391481,0.269223526294286,0.00318667037151446,"Gain",0,"Promoter (<=1kb)",6.18989717348371,5.70019218250565,6.55483854015235
"chr5",107669781,107670181,401,"*","1700028K03Rik",0.76553057072679,0.63326994582318,0.0625068225963418,"Gain",-12405,"Distal Intergenic",4.55503536544136,4.08797405941692,4.90730044225576
"chr13",97158383,97158783,401,"*","1700029F12Rik",0.735855453775331,0.714784840135377,0.108827740967288,"Gain",12087,"3' UTR",4.14986767266704,3.7009465398503,4.49175042496129
"chr8",13612117,13612517,401,"*","1700029H14Rik",0.42807148152327,0.746331229834144,0.142241681447556,"Gain",0,"Promoter (<=1kb)",5.88875577814023,5.62975800384338,6.10825796058871
"chr16",93247935,93248335,401,"*","1700029J03Rik",-0.491463998958911,0.758703792365266,0.15561011810056,"Loss",7425,"Intron (NR_040494/72264, intron 1 of 2)",5.23879630463944,5.4436166277479,5.00000872259286
"chr1",164786747,164787147,401,"*","1700029M03Rik",0.683569073548305,0.72363559969883,0.116095494232667,"Gain",-1309,"Promoter (1-2kb)",4.32200791788283,3.90661869426723,4.64414700621996
"chr13",44594650,44595050,401,"*","1700029N11Rik",0.493683233726272,0.846259619510527,0.299951538903155,"Gain",1447,"Promoter (1-2kb)",4.0003000413354,3.7009465398503,4.2480860563921
"chr17",29123665,29124065,401,"*","1700030A11Rik",-0.14772066291935,0.966821924719921,0.764971245781642,"Loss",-174,"Promoter (<=1kb)",3.85812322401494,3.9070091526509,3.80752251320503
"chr12",20865554,20865954,401,"*","1700030C10Rik",-0.404095380035609,0.822231008455345,0.251071527406649,"Loss",0,"Promoter (<=1kb)",5.16648331138849,5.33353906236952,4.97751890463695
"chr11",23366461,23366861,401,"*","1700030C12Rik",0.126825692945814,0.966889748307894,0.766364035029258,"Gain",-80900,"Intron (NM_001190401/17847, intron 35 of 79)",4.34083209435089,4.24955315188291,4.42667789120097
"chr2",152495012,152495412,401,"*","1700030C14Rik",-0.155556332449007,0.956734808071332,0.712650449692624,"Loss",838,"Promoter (<=1kb)",4.37626179821929,4.42875729561403,4.32178377627746
