"seqnames","start","end","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation"
"chr2",179364772,179365172,"Taf4",1.80159802264159,0.345326693536839,0.000597093495181812,"Gain",253267,"Intron (NM_001316723/12561, intron 2 of 5)"
"chr13",120270460,120270860,"Zfp131",1.78538763484337,0.11682471136893,5.8693244784505e-05,"Gain",-17802,"Distal Intergenic"
"chr4",62126508,62126908,"Zfp37",1.7796925855907,0.206320965037042,0.000222121185355317,"Gain",0,"Promoter (<=1kb)"
"chr17",43543691,43544091,"Adgrf1",1.77512203181223,0.188075360023817,0.000170668142514828,"Gain",-37147,"Distal Intergenic"
"chr19",52867183,52867583,"AA387883",1.77099674969807,0.141284456008023,8.1122202545337e-05,"Gain",-44029,"Distal Intergenic"
"chr5",113862528,113862928,"1700069L16Rik",1.76273753386967,0.328828652698259,0.000554616617986729,"Gain",0,"Promoter (<=1kb)"
"chr11",72883188,72883588,"P2rx1",1.75751158839747,0.484244888982219,0.00210456115211845,"Gain",-6383,"3' UTR"
"chr9",120192078,120192478,"Myrip",1.75529151146805,0.435411265485433,0.00136271304076004,"Gain",58939,"Intron (NM_144557/245049, intron 2 of 16)"
"chr14",33826892,33827292,"A630023A22Rik",1.75374393364098,0.484244888982219,0.00216495125033312,"Gain",-2181,"Promoter (2-3kb)"
"chr10",69754721,69755121,"Ank3",1.75252935040414,0.484244888982219,0.00217220308342702,"Gain",-6241,"Intron (NM_146005/11735, intron 23 of 42)"
"chr9",48206014,48206414,"Nxpe2",1.75228823720603,0.284787213485129,0.000423419683887369,"Gain",45784,"Distal Intergenic"
"chr13",19361882,19362282,"Stard3nl",1.74788939579116,0.259471052775055,0.000306538171391662,"Gain",217701,"Distal Intergenic"
"chr15",99278970,99279370,"Fmnl3",1.74738532974266,0.491263251619367,0.00224775944094844,"Gain",-10607,"Distal Intergenic"
"chr7",44181345,44181745,"Spib",1.73627027187218,0.0273448130448896,3.14817296632341e-06,"Gain",0,"Promoter (<=1kb)"
"chr6",86596962,86597362,"Asprv1",1.73372458069557,0.192427972723751,0.000193353306404401,"Gain",-7794,"Distal Intergenic"
"chr1",54849276,54849676,"Ankrd44",1.73099458715507,0.188075360023817,0.000153107490953547,"Gain",115870,"Intron (NM_001081433/329154, intron 2 of 27)"
"chr19",15626695,15627095,"Psat1",1.72541489698979,0.468343906037472,0.00173112116277398,"Gain",274891,"Distal Intergenic"
"chr14",76836111,76836511,"Serp2",1.72108490618515,0.529773788070869,0.0027618186147706,"Gain",-41755,"Distal Intergenic"
"chr8",25411187,25411587,"Adam32",1.72082147847327,0.468667669927612,0.00177905635791977,"Gain",27233,"Exon (NM_001293693/353188, exon 5 of 20)"
"chr17",59689501,59689901,"Nudt12",1.71857414425287,0.471358327083996,0.00181838154602489,"Gain",-369184,"Distal Intergenic"
"chr17",87513714,87514114,"C330024C12Rik",1.71426444645459,0.472832083946074,0.00185909171052771,"Gain",-11344,"Distal Intergenic"
"chr4",132912547,132912947,"Mir7017",1.71398443468503,0.472832083946074,0.00186648708943042,"Gain",-10019,"Exon (NM_153423/242687, exon 4 of 9)"
"chr16",88497885,88498285,"Krtap13-22",1.71339428040163,0.681344314113279,0.00771962460317,"Gain",6565,"Distal Intergenic"
"chr14",30610556,30610956,"Itih4",1.71262227101512,0.536412772306275,0.00291344417814064,"Gain",2123,"Promoter (2-3kb)"
"chr1",135756714,135757114,"Tnnt2",1.71126793399799,0.384807159898807,0.00087408485188307,"Gain",-6958,"Intron (NM_133664/16763, intron 4 of 9)"
"chr8",13196745,13197145,"Mir7065",1.68546959274467,0.4992534568995,0.00232394640341498,"Gain",10673,"3' UTR"
"chr11",86487006,86487406,"Mir21a",1.68436052888547,0.106200722124408,5.01597309962163e-05,"Gain",-12022,"Intron (NM_001356531/75909, intron 10 of 11)"
"chr13",107592924,107593324,"AI197445",1.67633375551311,0.639242530746027,0.00599431549332149,"Gain",-12998,"Distal Intergenic"
"chr5",115992478,115992878,"Cit",1.67520495254235,0.07877018562821,2.8271843405648e-05,"Gain",8763,"Intron (NM_007708/12704, intron 2 of 46)"
"chr10",76093834,76094234,"S100b",1.67003386744209,0.348618750657138,0.000631415378774908,"Gain",4164,"Intron (NM_009115/20203, intron 2 of 2)"
"chr10",93357309,93357709,"Amdhd1",1.66779703777803,0.432434141773971,0.00127025528250033,"Gain",18186,"Distal Intergenic"
"chr10",61136789,61137189,"Prf1",1.66756764076581,0.639242530746027,0.00630010718945943,"Gain",3174,"Intron (NM_011073/18646, intron 2 of 2)"
"chr7",138622603,138623003,"Dpysl4",1.66713104259701,0.351302982396734,0.000645083781209191,"Gain",-42914,"Exon (NM_028708/74004, exon 7 of 24)"
"chr5",130880939,130881339,"Caln1",1.66327832179105,0.529773788070869,0.00281021704778532,"Gain",403306,"Distal Intergenic"
"chr12",42228398,42228798,"Lrrn3",1.66186032561332,0.0780988722966065,2.42050185907978e-05,"Gain",-692342,"Distal Intergenic"
"chr17",68394181,68394581,"Arhgap28",1.66169333785104,0.188075360023817,0.000161511804783183,"Gain",-83078,"Distal Intergenic"
"chr19",53790298,53790698,"Pdcd4",1.65399007595644,0.484244888982219,0.00200974166979468,"Gain",-89964,"Intron (NM_001170847/73713, intron 1 of 13)"
"chr11",88450126,88450526,"0610039H22Rik",1.65043348233416,0.372309369555607,0.000755657966374399,"Gain",-59551,"Intron (NM_054043/76626, intron 6 of 13)"
"chr14",76101089,76101489,"Snora31",1.64763091334814,0.554503160101661,0.00306760969984262,"Gain",15726,"Distal Intergenic"
"chr3",87058765,87059165,"Kirrel1",1.6475687649921,0.608425312971865,0.00466148350696494,"Gain",22679,"Intron (NM_001170985/170643, intron 1 of 15)"
"chr5",125218161,125218561,"Ncor2",1.645735827644,0.104383556738987,4.6823887864686e-05,"Gain",37717,"Intron (NM_001253904/20602, intron 2 of 47)"
"chr6",8412732,8413132,"A430035B10Rik",1.64426221968119,0.609977066183434,0.00474890635541766,"Gain",96029,"Intron (NM_001302353/100036521, intron 4 of 4)"
"chr14",48415660,48416060,"Gm6498",1.64384299904999,0.609977066183434,0.00477881475208572,"Gain",-20113,"Intron (NM_033602/93834, intron 2 of 5)"
"chr3",88380833,88381233,"Sema4a",1.6413021733935,0.416668085639484,0.00112891841189195,"Gain",-12344,"Distal Intergenic"
"chr13",53250571,53250971,"Nfil3",1.63928248274579,0.456220675355509,0.00160538285028861,"Gain",-115496,"Distal Intergenic"
"chr9",76137705,76138105,"Gfral",1.63783366245416,0.384807159898807,0.000858492104152603,"Gain",-16766,"3' UTR"
"chr17",31357388,31357788,"Tff2",1.63217917887451,0.619731061238807,0.0051104651246737,"Gain",5468,"Distal Intergenic"
"chr8",96096329,96096729,"Mmp15",1.62612224337928,0.0694238664826357,1.7439426734316e-05,"Gain",17405,"Exon (NM_008609/17388, exon 6 of 10)"
"chr11",119024576,119024976,"Mir6934",1.62516901524791,0.518411052190567,0.0025089982566603,"Gain",19987,"Distal Intergenic"
"chr13",59375916,59376316,"Gm34307",1.6185522594589,0.188075360023817,0.000172595615395214,"Gain",-82267,"Distal Intergenic"
"chr1",155965322,155965722,"Tor1aip2",1.6181844273597,0.435411265485433,0.0013726733306666,"Gain",48715,"Intron (NM_177838/329274, intron 1 of 4)"
"chr17",3514272,3514672,"Tiam2",1.61669674290054,0.435411265485433,0.00138788107559201,"Gain",-17918,"Intron (NM_001122998/24001, intron 14 of 26)"
"chr17",72133570,72133970,"Clip4",1.61544303390892,0.575417205891056,0.00388078612058986,"Gain",44628,"Intron (NM_001271484/78785, intron 9 of 14)"
"chr12",24812327,24812727,"Rrm2",1.61489272563218,0.372309369555607,0.000775032160276162,"Gain",54074,"Distal Intergenic"
"chr1",91548859,91549259,"Asb1",1.61001752213821,0.639242530746027,0.00603035542434295,"Gain",80057,"Distal Intergenic"
"chr17",28144581,28144981,"Anks1",1.59694217941984,0.555254197825128,0.00311088686286736,"Gain",16264,"Intron (NM_001286040/224650, intron 1 of 24)"
"chr12",66607330,66607730,"Rpl10l",1.58243350915962,0.518411052190567,0.00252177251439203,"Gain",-276155,"Intron (NM_001193266/320772, intron 9 of 16)"
"chr9",72698980,72699380,"Gm27204",1.58043942127048,0.348618750657138,0.000631782347957564,"Gain",-12271,"Distal Intergenic"
"chr5",75382221,75382621,"Mir7025",1.56635772773425,0.484244888982219,0.00210262505183434,"Gain",44729,"Distal Intergenic"
"chr13",60001302,60001702,"Tut7",1.56475800951047,0.484244888982219,0.00212614834978526,"Gain",-30341,"Distal Intergenic"
"chr11",8731274,8731674,"Tns3",1.56446832432196,0.576477779074071,0.00395131184250153,"Gain",-116739,"Distal Intergenic"
"chr4",45054814,45055214,"Fbxo10",1.56188302712653,0.688624125143867,0.00816052710908498,"Gain",29341,"Intron (NM_001378819/269529, intron 3 of 10)"
"chr9",22624530,22624930,"Bbs9",1.55957835664399,0.585819948479127,0.00407284731285684,"Gain",237519,"Intron (NM_001360258/319845, intron 18 of 21)"
"chr18",71044030,71044430,"Mbd2",1.5580776817057,0.688624125143867,0.00835390373134226,"Gain",342667,"Distal Intergenic"
"chr4",118069926,118070326,"Mir7226",1.55520845890072,0.468343906037472,0.00172922017554404,"Gain",-2165,"Promoter (2-3kb)"
"chr5",111683812,111684212,"C130026L21Rik",1.54983761295432,0.639242530746027,0.0061843195284668,"Gain",-45215,"Distal Intergenic"
"chr5",113312765,113313165,"2900026A02Rik",1.54934494311097,0.037900259704708,7.62189035898069e-06,"Gain",-1586,"Promoter (1-2kb)"
"chr12",112092197,112092597,"Mir203",1.54647323716236,0.262193526713518,0.000352840639193172,"Gain",-4717,"Intron (NM_001081169/104816, intron 13 of 14)"
"chr2",32793984,32794384,"Niban2",1.5462365387872,0.56209878296585,0.00328784603459485,"Gain",27838,"Intron (NM_146119/227737, intron 1 of 13)"
"chr15",92903819,92904219,"Gxylt1",1.54558996941941,0.262193526713518,0.000348890579701833,"Gain",268841,"Distal Intergenic"
"chr10",41984392,41984792,"Tdg-ps2",1.54196780775251,0.639464726298285,0.00644834522679315,"Gain",-52943,"Distal Intergenic"
"chr2",69415949,69416349,"Lrp2",1.53991793972814,0.520617092752929,0.00259274176655076,"Gain",24,"Promoter (<=1kb)"
"chr7",130441156,130441556,"Plekha1",1.53987992499076,0.609977066183434,0.00475046155190059,"Gain",-25898,"Distal Intergenic"
"chr9",121526619,121527019,"Sec22c",1.53843640178512,0.567927310367975,0.00345724154579599,"Gain",7076,"Intron (NM_001164562/215474, intron 1 of 6)"
"chr5",92589281,92589681,"Nup54",1.52681006453244,0.188075360023817,0.000182230485919869,"Gain",-6223,"3' UTR"
"chr1",92259302,92259702,"Mir6900",1.52676651981653,0.384807159898807,0.000833740120002478,"Gain",132562,"Distal Intergenic"
"chr18",84906972,84907372,"Cyb5a",1.52637012971408,0.432434141773971,0.00129487558232735,"Gain",37509,"Distal Intergenic"
"chr2",113264086,113264486,"Fmn1",1.52498929157116,0.575417205891056,0.00389296959214541,"Gain",-6923,"Intron (NM_001285458/14260, intron 2 of 16)"
"chr1",93614061,93614461,"Bok",1.51461934342297,0.502481006824475,0.00237121411029278,"Gain",764,"Promoter (<=1kb)"
"chr14",97267519,97267919,"Klhl1",1.51218641958696,0.592853931435104,0.00421248397416747,"Gain",-511049,"Distal Intergenic"
"chr16",4473857,4474257,"Vasn",1.51218641958696,0.592853931435104,0.00421248397416747,"Gain",16048,"Intron (NM_030205/78885, intron 7 of 27)"
"chr9",80323261,80323661,"Impg1",1.50513743100534,0.688624125143867,0.00824718778736305,"Gain",23830,"Intron (NM_022016/63859, intron 1 of 16)"
"chr4",59455530,59455930,"Susd1",1.50495744492848,0.567927310367975,0.00336780735803161,"Gain",-16897,"Distal Intergenic"
"chr8",124480806,124481206,"4732419C18Rik",1.50397290714548,0.348618750657138,0.000617860133050273,"Gain",0,"Promoter (<=1kb)"
"chr2",49854988,49855388,"Lypd6",1.50338223293877,0.688624125143867,0.00833360236780166,"Gain",-101053,"Distal Intergenic"
"chr17",35298855,35299255,"Ly6g6d",1.50263846364499,0.567927310367975,0.00343064113104437,"Gain",960,"Promoter (<=1kb)"
"chr11",117028943,117029343,"Sec14l1",1.49652873494926,0.639242530746027,0.00634939793312305,"Gain",2109,"Promoter (2-3kb)"
"chr3",9638694,9639094,"Zfp704",1.4950815578053,0.529773788070869,0.00279110584300696,"Gain",36051,"Intron (NM_133218/170753, intron 1 of 8)"
"chr11",70003662,70004062,"Mgl2",1.49508098737733,0.567927310367975,0.00359715436422607,"Gain",-17121,"Distal Intergenic"
"chr2",26933476,26933876,"Slc2a6",1.49210669942164,0.567927310367975,0.00366825246022328,"Gain",-15466,"Distal Intergenic"
"chr13",88607879,88608279,"Gm34585",1.48540419821395,0.4992534568995,0.00233751149434803,"Gain",-61033,"Distal Intergenic"
"chr2",32882108,32882508,"Slc2a8",1.48316618451172,0.580531816170681,0.00399898848302105,"Gain",-10013,"Exon (NM_001355202/99326, exon 26 of 29)"
"chr13",83212921,83213321,"Mir3961",1.48116203426887,0.432434141773971,0.00124168742474475,"Gain",-366469,"Distal Intergenic"
"chr11",112878717,112879117,"1700012H19Rik",1.48110898755513,0.655674789102479,0.00697651528633048,"Gain",-162763,"Distal Intergenic"
"chr11",59770780,59771180,"Nt5m",1.47923933390463,0.621096633911186,0.0053222234329046,"Gain",31881,"Distal Intergenic"
"chr5",32510140,32510540,"Plb1",1.47895210013208,0.45151614624158,0.00153119485465547,"Gain",-384,"Promoter (<=1kb)"
"chr2",72366192,72366592,"Cdca7",1.47817086719919,0.432434141773971,0.00126636023473684,"Gain",59629,"Distal Intergenic"
"chr1",7964935,7965335,"Pcmtd1",1.47494325497832,0.432434141773971,0.00132897049544388,"Gain",805791,"Distal Intergenic"
"chr4",9859000,9859400,"Gdf6",1.46385526380023,0.567927310367975,0.00355561746492955,"Gain",14628,"Exon (NM_013526/242316, exon 2 of 2)"
"chr12",70115662,70116062,"Nin",1.46178739597835,0.688624125143867,0.00802364922016377,"Gain",33566,"Intron (NM_001081453/18080, intron 3 of 28)"
"chr1",180738714,180739114,"Pycr2",1.46161013431163,0.468667669927612,0.00178109640377688,"Gain",6875,"Distal Intergenic"
"chr4",150667896,150668296,"Slc45a1",1.45788968812364,0.536412772306275,0.00290956976637272,"Gain",68335,"Intron (NM_001085492/68703, intron 12 of 22)"
"chr8",73027663,73028063,"Ap1m1",1.45734851073916,0.474887006574446,0.00188615468775151,"Gain",33801,"Distal Intergenic"
"chr7",115434219,115434619,"Sox6",1.4553229357758,0.639242530746027,0.00633528751408754,"Gain",-10274,"Intron (NM_001277326/20679, intron 1 of 15)"
"chr8",10464751,10465151,"Myo16",1.45325437266281,0.639464726298285,0.00642718155902648,"Gain",260840,"Intron (NM_001319151/244281, intron 16 of 34)"
"chr11",106209517,106209917,"Cd79b",1.45138006574684,0.417983346131465,0.00115751177083301,"Gain",-4129,"3' UTR"
"chr9",24030685,24031085,"Npsr1",1.4504444801947,0.640975223965842,0.00652119267115711,"Gain",21371,"Intron (NM_175678/319239, intron 2 of 9)"
"chr3",125550580,125550980,"Ugt8a",1.45007899043751,0.484244888982219,0.00198643264410525,"Gain",181321,"Distal Intergenic"
"chr3",104192310,104192710,"Magi3",1.44706893532591,0.643800774939467,0.0066566285957848,"Gain",-64588,"Distal Intergenic"
"chr2",50479224,50479624,"Gm48908",1.44528256498094,0.369124856210429,0.000715306905740442,"Gain",234187,"Distal Intergenic"
"chr11",57358538,57358938,"Fam114a2",1.44430063912403,0.484244888982219,0.00207286651312737,"Gain",50532,"Distal Intergenic"
"chr4",120922602,120923002,"Col9a2",1.44424825442819,0.647607625326271,0.00676678145273743,"Gain",25839,"Intron (NM_172700/230709, intron 9 of 9)"
"chr7",128307419,128307819,"Inpp5f",1.44406463691746,0.647607625326271,0.00677447867589923,"Gain",16825,"Intron (NM_145955/210711, intron 11 of 15)"
"chr4",43931881,43932281,"Glipr2",1.44266066625889,0.484244888982219,0.0020972607736062,"Gain",-25421,"Intron (NM_016678/53614, intron 16 of 20)"
"chr15",76167298,76167698,"Mir3079",1.44050867059991,0.653009855313141,0.00692629678993033,"Gain",7470,"Intron (NM_028852/74281, intron 1 of 4)"
"chr17",91400132,91400532,"Nrxn1",1.44047371420572,0.623823703423249,0.00538396614775323,"Gain",0,"Promoter (<=1kb)"
"chr6",16862871,16863271,"Tfec",1.43300354458833,0.456220675355509,0.00156889667205316,"Gain",35169,"Intron (NM_031198/21426, intron 2 of 6)"
"chr8",25622512,25622912,"Mir8108",1.43157382006336,0.567927310367975,0.00357589929948626,"Gain",26337,"Distal Intergenic"
"chr4",62166659,62167059,"Slc31a2",1.42999930016875,0.377403284337986,0.000799066739967745,"Gain",-37607,"Distal Intergenic"
"chr17",22892949,22893349,"Gm9805",1.42861541507431,0.456220675355509,0.00162082275390064,"Gain",0,"Promoter (<=1kb)"
"chr11",118381638,118382038,"Engase",1.42853886124278,0.603970597347539,0.00458407311200045,"Gain",13980,"3' UTR"
"chr14",98866441,98866841,"Mzt1",1.42818132642225,0.567927310367975,0.00366081485444505,"Gain",416731,"Distal Intergenic"
"chr4",47494140,47494540,"Sec61b",1.42735105066738,0.314955954104018,0.000508613289839978,"Gain",19479,"Distal Intergenic"
"chr13",60326255,60326655,"Gas1",1.42650204420071,0.639242530746027,0.00592719876299087,"Gain",-906,"Promoter (<=1kb)"
"chr4",40914350,40914750,"Spink4",1.42145789347611,0.554503160101661,0.003085156293898,"Gain",-5306,"Distal Intergenic"
"chr19",44462563,44462963,"Wnt8b",1.4194480823341,0.688624125143867,0.00805728479332187,"Gain",-18948,"Distal Intergenic"
"chr15",91174738,91175138,"Abcd2",1.41290614444806,0.641223880391693,0.0065581283970298,"Gain",-98528,"Intron (NM_001033633/239606, intron 7 of 9)"
"chr6",144409004,144409404,"Sox5os3",1.41265566115477,0.524628526058813,0.00267301243148506,"Gain",-209190,"Distal Intergenic"
"chr1",72041096,72041496,"4933417E11Rik",1.41016495756146,0.621096633911186,0.00530705932294396,"Gain",2858,"Promoter (2-3kb)"
"chr17",70736715,70737115,"Dlgap1",1.41001667575204,0.456220675355509,0.00161144629564672,"Gain",4928,"Intron (NM_001347411/224997, intron 4 of 14)"
"chr5",3465025,3465425,"Cdk6",1.40753911228339,0.690197640622139,0.00864807727408521,"Gain",71132,"Intron (NM_009873/12571, intron 3 of 7)"
"chr8",118147565,118147965,"Mir7077",1.40590903812529,0.651261969839204,0.00686013776610627,"Gain",-31797,"Intron (NM_001163262/74440, intron 5 of 20)"
"chr17",29383439,29383839,"Rab44",1.40359550124648,0.432434141773971,0.00129163703027762,"Gain",50284,"Exon (NM_001360239/240058, exon 16 of 22)"
"chr11",97942445,97942845,"Stac2",1.4026685302447,0.631546931976308,0.00555260885430975,"Gain",1443,"Promoter (1-2kb)"
"chr4",84463402,84463802,"Bnc2",1.40200070072795,0.603970597347539,0.00449552091010638,"Gain",64632,"Intron (NM_001369081/242509, intron 3 of 6)"
"chr10",38499433,38499833,"Rfpl4b",1.40151796506209,0.513481039520159,0.0024531412801831,"Gain",197942,"Distal Intergenic"
"chr8",36786558,36786958,"Lonrf1",1.39966764879658,0.435411265485433,0.00139064101873981,"Gain",-70045,"Distal Intergenic"
"chr1",4641891,4642291,"Sox17",1.39830229991708,0.603970597347539,0.00458364639575061,"Gain",-74314,"Distal Intergenic"
"chr17",28569661,28570061,"Tead3",1.39754125128697,0.262193526713518,0.000348071726399855,"Gain",0,"Promoter (<=1kb)"
"chr5",123205777,123206177,"Tmem120b",1.39671477445763,0.607452327147922,0.00463229812384028,"Gain",-8161,"Distal Intergenic"
"chr11",118295281,118295681,"Lgals3bp",1.39654974160952,0.408380998192237,0.00109181024780455,"Gain",-2496,"Promoter (2-3kb)"
"chr4",56757262,56757662,"Actl7a",1.39571517603048,0.372309369555607,0.000775654111027474,"Gain",13840,"Exon (NM_026079/230233, exon 35 of 37)"
"chr11",87080277,87080677,"Trim37",1.39530390071042,0.637565671947088,0.00582570898153078,"Gain",62376,"Intron (NM_001363026/68729, intron 15 of 22)"
"chr5",147929319,147929719,"Mtus2",1.39098998091686,0.144368466506706,8.7544609364899e-05,"Gain",35189,"Intron (NM_001359503/77521, intron 1 of 14)"
"chr19",58457839,58458239,"Gfra1",1.38280522202556,0.688624125143867,0.00808490525086079,"Gain",-14009,"Distal Intergenic"
"chr4",80229338,80229738,"Tyrp1",1.38112076845633,0.0944672171740029,3.89856096139034e-05,"Gain",-522712,"Distal Intergenic"
"chr9",121161130,121161530,"Trak1",1.37956647665563,0.484244888982219,0.00209174759991171,"Gain",-34494,"Intron (NM_001357972/67095, intron 1 of 13)"
"chr5",108594854,108595254,"Slc49a3",1.37703195637554,0.484244888982219,0.00215191844990433,"Gain",1712,"Promoter (1-2kb)"
"chr17",24563663,24564063,"Abca17",1.37650398946514,0.624101398324886,0.00542169390482553,"Gain",5970,"Intron (NM_001031621/381072, intron 3 of 30)"
"chr11",109238498,109238898,"1700096J18Rik",1.37279873694802,0.405404358116521,0.0010661976293391,"Gain",805,"Promoter (<=1kb)"
"chr4",62184309,62184709,"Slc31a2",1.37218761390802,0.554503160101661,0.0030942812529896,"Gain",-19957,"Distal Intergenic"
"chr2",83906292,83906692,"Zswim2",1.36900479128781,0.609977066183434,0.00477048971683583,"Gain",-134722,"Distal Intergenic"
"chr1",178873358,178873758,"Smyd3",1.36803574175004,0.561223415866694,0.0031898049322568,"Gain",471848,"Intron (NM_027188/69726, intron 9 of 11)"
"chr10",118655768,118656168,"Dyrk2",1.36767689598433,0.219228055975478,0.000243883935090785,"Gain",48640,"Distal Intergenic"
"chr1",155878130,155878530,"Cep350",1.36736698244313,0.608425312971865,0.00469430281665654,"Gain",-29129,"Distal Intergenic"
"chr8",81606931,81607331,"Gab1",1.36711377234381,0.188075360023817,0.000152716483099166,"Gain",0,"Promoter (<=1kb)"
"chr13",120760860,120761260,"Tcstv4",1.36588569122798,0.384807159898807,0.000852333891499991,"Gain",-668,"Promoter (<=1kb)"
"chr16",95076544,95076944,"Gm31641",1.36489663837353,0.404405649763908,0.00102173913404346,"Gain",-15983,"Intron (NM_001039056/16516, intron 2 of 3)"
"chr2",75393838,75394238,"Gm39859",1.36288406335026,0.404405649763908,0.000949455548577644,"Gain",95043,"Distal Intergenic"
"chr4",46668511,46668911,"Tbc1d2",1.36239573049436,0.404405649763908,0.00104336418602933,"Gain",-18312,"Intron (NM_001081141/242425, intron 17 of 18)"
"chr1",59286764,59287164,"Cdk15",1.36226382014245,0.639242530746027,0.0059493308435188,"Gain",-8901,"Distal Intergenic"
